measurement,measurement_2,class
107396,87135,zero
68282,42500,zero
81563,49427,zero
77709,39010,zero
107969,56823,zero
68594,40209,zero
82032,51719,zero
89114,54531,zero
82344,47136,zero
106823,55208,zero
66146,47396,zero
81198,47604,zero
82083,47865,zero
71093,46458,zero
74219,49323,zero
80989,45261,zero
78750,50209,zero
87709,52865,zero
103750,66302,zero
83125,21042,zero
91459,55156,zero
65208,53281,zero
90469,56302,zero
67552,45157,zero
103073,50208,zero
78229,53125,zero
81563,38542,zero
113959,50469,zero
21771,82760,zero
67552,43542,zero
89063,55833,zero
81093,47239,zero
95834,66459,zero
72500,46406,zero
82083,48177,zero
72448,46667,zero
79896,51406,zero
78281,50312,zero
84011,46614,zero
128855,89063,zero
86042,45573,zero
67344,43020,zero
121094,76146,zero
91875,63959,zero
13281,39219,zero
65937,43177,zero
69271,46146,zero
72552,38386,zero
80313,45677,zero
120052,78542,zero
66250,43958,zero
95364,56093,zero
69323,88854,zero
73645,50833,zero
10677,42812,zero
73906,101563,zero
86355,55364,zero
83333,21355,zero
80208,49531,zero
88854,48386,zero
111198,44218,zero
83021,57135,zero
95157,41615,zero
89010,40833,zero
87552,54166,zero
94063,51667,zero
70625,46354,zero
109636,78541,zero
90833,49480,zero
89740,55520,zero
86771,53906,zero
76615,45781,zero
63698,42344,zero
72187,46302,zero
153541,55313,zero
79948,55468,zero
111823,53698,zero
78490,48490,zero
77813,45990,zero
65886,51666,zero
88750,47969,zero
74948,58385,zero
71458,46667,zero
95573,56094,zero
34896,35989,zero
85990,37760,zero
81563,49271,zero
87240,55312,zero
101823,46093,zero
74375,39948,zero
74895,50416,zero
72083,47396,zero
82187,46354,zero
71667,39844,zero
95729,45052,zero
165521,54063,zero
90156,56771,zero
85730,61042,zero
123177,86459,zero
82136,21407,zero
88177,60625,zero
87292,56823,zero
93854,51459,zero
91406,48750,zero
95677,53542,zero
88334,54636,zero
78229,46823,zero
95052,58646,zero
95312,54844,zero
95730,50989,zero
97813,54062,zero
116459,80573,zero
87447,55469,zero
81615,57136,zero
87344,52864,zero
88021,55520,zero
86718,39323,zero
88698,55052,zero
151667,56250,zero
16198,57136,zero
78437,49896,zero
110781,72240,zero
94896,54636,zero
89896,55782,zero
74739,46094,zero
87656,56823,zero
145625,118437,zero
86510,52604,zero
22188,53386,zero
105886,55312,zero
89479,64948,zero
98229,65260,zero
81094,53958,zero
93698,62865,zero
94114,56302,zero
96250,55990,zero
75468,20937,zero
86458,57292,zero
90729,56354,zero
91406,54167,zero
103229,67396,zero
